Vehicle.Type,Drive.Type,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle  (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,Average Number of Gears,Transmission - CVT (Non-Hybrid),Cylinders,4 or Fewer Gears,5 Gears,6 Gears,7 Gears,8 Gears,9 or More Gears,Fuel Delivery - Gasoline Direct & Port Injection (GDPI)
Minivan/Van,Rear Wheel Drive,1990,589,0.467,19.26985,16.19569,14.48671,18.55529,548.82611,613.57187,479.03231,4369.294,-,269.946,162.187,12.0243,0.618763,0.037174,35.61898,0.016,0.08,0.904,-,0.001,-,-,0.444,0.554,0.001,0.001,-,-,-,-,-,0.999,-,-,-,-,-,3.9,-,6.7,0.989,0.011,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1991,526,0.509,20.05896,16.81074,14.95767,19.33004,528.75244,594.25849,459.8392,4304.72,-,248.8581,157.242,12.3286,0.664321,0.036583,36.44139,0.015,0.042,0.943,-,-,-,-,0.531,0.467,0.001,0.001,-,-,-,-,-,0.999,-,-,-,-,-,3.9,-,6.2,0.985,0.015,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1992,600,0.491,19.83211,16.5667,14.74949,18.96476,536.51235,602.61514,468.66951,4359.715,-,255.6225,163.2356,11.8494,0.663808,0.037528,36.331,0.007,0.041,0.952,-,-,-,-,0.603,0.396,0.001,0.001,-,-,-,-,-,0.999,-,-,-,-,-,3.9,-,6.5,0.993,0.007,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1993,658,0.456,20.23933,16.87207,14.87663,19.49314,526.72862,597.38002,455.90405,4350.592,-,249.0602,166.1722,10.9472,0.691837,0.03826,36.83007,0.008,0.036,0.956,-,-,-,-,0.663,0.337,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,6.4,0.992,0.008,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1994,585,0.413,19.47213,16.17923,14.3012,18.5635,549.28437,621.41652,478.73523,4439.305,-,268.3667,175.8522,10.6489,0.669444,0.03972,36.07141,0.003,0.051,0.947,-,-,-,-,0.666,0.334,-,-,-,-,-,-,-,1,-,-,-,0.026,-,3.9,-,6.6,0.997,0.003,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1995,492,0.296,19.00379,15.74634,13.89994,18.03341,564.38524,639.35509,492.8075,4535.564,-,288.8354,186.2126,10.4643,0.660307,0.0414,35.83013,-,0.056,0.944,-,-,-,-,0.716,0.284,-,-,-,-,-,-,-,1,-,-,-,0.033,-,3.9,-,6.7,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1996,336,0.239,19.20106,15.86883,13.93807,18.22251,560.02865,637.60623,487.69349,4560.121,-,272.8966,184.7084,11.1434,0.690571,0.040627,36.34194,-,0.068,0.932,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.053,-,3.9,-,6.6,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1997,387,0.306,19.77562,16.29846,14.22955,18.7859,545.26622,624.54545,473.06767,4577.864,-,269.0759,199.7756,10.5417,0.748384,0.04365,37.35936,-,0.014,0.986,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.031,-,3.9,-,6.7,0.977,0.023,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1998,274,0.184,19.46449,16.01132,13.90393,18.50652,555.04472,639.17188,480.2091,4758.074,-,279.9218,208.9301,10.6907,0.750046,0.044096,38.1239,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.023,-,4,-,6.7,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1999,311,0.213,18.88764,15.49207,13.45954,17.83069,573.64817,660.27512,498.41022,4820.54,-,285.0917,207.9901,10.77,0.730697,0.043119,37.32679,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3.9,-,6.8,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2000,282,0.167,19.12673,15.6157,13.60928,17.84662,569.10667,653.01041,497.96538,4716.846,-,282.9036,207.7449,10.1826,0.734703,0.04405,36.87403,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3.9,-,6.8,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2001,272,0.221,18.91773,15.44749,13.28471,17.85672,575.30392,668.9645,497.68382,4956.962,-,289.6052,225.2824,9.7792,0.778742,0.045402,38.33456,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,7.2,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2002,157,0.126,18.67968,15.14942,13.20562,17.19692,586.62329,672.97111,516.77848,4806.224,-,284.2068,213.3573,10.1138,0.75171,0.04447,36.50344,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,6.8,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2003,141,0.114,19.35949,15.6344,13.59816,17.73259,568.42601,653.54421,501.16759,4930.27,-,283.1517,217.9809,10.0764,0.766768,0.044094,38.60069,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,6.8,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2004,81,0.085,20.05168,16.17051,13.88775,18.52138,549.58074,639.91666,479.82385,4946.769,-,280.9281,221.5576,9.9707,0.784677,0.044811,39.91224,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,6.9,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2005,79,0.054,19.9016,15.97755,13.76563,18.18148,556.21785,645.59352,488.79409,4846.526,-,277.0231,214.1532,10.0236,0.768861,0.044173,38.60673,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,6.8,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2006,66,0.057,19.38817,15.57359,13.43788,17.69516,570.64563,661.33922,502.22766,5139.483,-,280.9826,225.5134,10.1147,0.799857,0.04384,40.02507,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,7.3,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2007,28,0.033,20.04493,16.10022,13.83662,18.36697,551.97989,642.28131,483.85777,5158.883,-,277.5377,219.6631,10.4798,0.784579,0.04237,41.4836,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,6.5,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2008,24,0.031,20.2695,16.21057,14.11514,18.25495,548.22251,629.60759,486.82674,5188.91,63.50649,277.1894,222.4709,10.5267,0.794016,0.042487,42.04894,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,6.5,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2009,13,0.034,20.47682,16.39221,14.20781,18.54288,542.14789,625.50107,479.26742,5185.066,62.48421,276.6009,219.5665,10.345,0.786427,0.042014,42.55759,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,6.5,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2010,12,0.021,20.66822,16.57769,14.25721,18.89804,536.08204,623.33394,470.26043,5249.075,63.51025,279.7472,225.8394,10.3566,0.798859,0.042631,43.5007,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,0.291,4,-,6.6,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,2011,15,0.029,19.13378,15.46495,13.32869,17.59199,574.65417,666.75718,505.17296,5533.926,64.19069,290.3093,235.5042,10.3166,0.805034,0.042323,43.05828,-,-,1,-,-,-,-,1,-,-,-,-,-,-,0.016,-,0.984,-,-,-,0.033,0.261,4.1,-,7,0.937,0.005,0.058,-,-,-,-
Minivan/Van,Rear Wheel Drive,2012,23,0.035,19.63104,15.85607,13.61149,18.10881,560.47948,652.90427,490.75552,5392.928,63.8073,283.1798,227.5786,10.7263,0.797321,0.041976,42.92486,-,-,1,-,-,-,-,1,-,-,-,-,-,-,0.027,-,0.973,-,-,-,-,0.199,4.1,-,6.8,0.941,0.004,0.055,-,-,-,-
Minivan/Van,Rear Wheel Drive,2013,16,0.028,19.52182,15.76236,13.59028,17.92339,563.81164,653.92345,495.83255,5441.919,64.28686,285.2355,229.7899,10.3955,0.79864,0.04198,43.06673,-,-,1,-,-,-,-,1,-,-,-,-,-,-,0.005,-,0.995,-,-,-,-,0.231,4.1,-,6.8,0.943,0.004,0.052,-,-,-,-
Minivan/Van,Rear Wheel Drive,2014,19,0.029,18.89219,15.30912,13.11308,17.52291,580.50355,677.72025,507.16464,5415.894,64.13447,284.8656,229.1527,10.3987,0.796905,0.041998,41.45637,-,-,1,-,-,-,-,1,-,-,-,-,-,-,0.009,-,0.991,-,-,-,-,0.241,4.1,-,6.7,0.941,0.004,0.055,-,-,-,-
Minivan/Van,Rear Wheel Drive,2015,8,0.013,19.22357,15.63856,13.18273,18.19571,568.27469,674.13941,488.41183,6185.588,62.62153,251.4637,281.0458,9.2466,1.142953,0.045463,48.63143,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,0.079,-,-,0.72,1,6,-,6.6,-,-,1,-,-,-,-
Minivan/Van,Rear Wheel Drive,2016,17,0.028,23.5303,18.45053,16.40576,20.36537,481.66648,541.69996,436.37807,5390.337,59.42326,180.4313,246.4498,9.1832,1.459878,0.04559,50.23236,-,-,1,-,-,-,0.552,0.448,-,-,-,-,-,-,-,-,1,0.552,0.494,-,0.951,1,6.5,-,5.1,-,-,0.506,0.494,-,-,-
Minivan/Van,Rear Wheel Drive,2017,13,0.021,22.09296,17.35463,15.46017,19.12232,512.08239,574.83207,464.74491,5532.098,60.22117,195.9812,254.4615,9.1512,1.402603,0.045867,48.72386,-,-,1,-,-,-,0.466,0.534,-,-,-,-,-,-,-,-,1,0.466,0.411,-,0.902,1,6.4,-,5.4,-,-,0.589,0.411,-,-,-
Minivan/Van,Rear Wheel Drive,2018,15,0.03,23.3236,18.18913,16.35303,19.87234,488.58863,543.44673,447.20445,5386.792,59.48037,170.4919,241.4526,9.3038,1.488111,0.044697,49.42557,-,-,1,-,-,-,0.567,0.433,-,-,-,-,-,-,-,-,1,0.567,-,-,1,1,6.5,-,4.9,-,-,0.475,0.525,-,-,-
Minivan/Van,Rear Wheel Drive,2019,13,0.023,22.23695,17.51934,15.51951,19.40576,507.26808,572.63415,457.95684,5563.129,60.36562,189.6208,254.137,9.2319,1.399145,0.045607,48.99661,-,-,1,-,-,-,0.391,0.609,-,-,-,-,-,-,-,-,1,0.391,-,-,1,1,6.3,-,5.3,-,-,0.659,0.341,-,-,-
Minivan/Van,Rear Wheel Drive,2020,23,0.057,27.41187,21.06329,18.97048,22.97538,421.9188,468.46458,386.80531,4864.206,58.35411,140.3499,221.7163,8.9326,1.625075,0.0457,51.13003,-,-,1,-,-,-,0.795,-,-,-,-,-,-,-,-,-,1,0.795,-,-,1,1,7.6,-,4.4,-,-,-,0.795,-,0.205,0.205
Minivan/Van,Rear Wheel Drive,2021,4,0.013,26.00335,19.67172,17.32683,21.90841,451.76533,512.90391,405.64325,4942.15,59.2047,140.63,221.9201,8.5963,1.623784,0.044994,48.49724,-,-,1,-,-,-,0.792,-,-,-,-,-,-,-,-,-,1,0.792,-,-,1,1,9.2,-,4.4,-,-,-,-,-,1,0.208
Minivan/Van,Rear Wheel Drive,2022,19,0.051,27.80107,21.61651,18.997,24.12619,411.1209,467.81063,368.35496,4595.362,57.79643,126.4294,211.5879,8.5173,1.689233,0.046076,49.68357,-,-,1,-,-,-,0.946,-,-,-,-,-,-,-,-,-,1,0.946,-,-,1,1,9.1,-,4.1,-,-,-,-,-,1,0.054
Truck SUV,Rear Wheel Drive,1975,20,0.111,13.48179,11.45893,10.80653,12.37179,775.55265,822.37281,718.328,4570.12,-,357.0301,165.8374,-,0.4629,0.036212,26.43186,0.151,0.849,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1976,24,0.105,13.62249,11.59245,10.81451,12.7099,766.61983,821.7663,699.21858,4628.182,-,356.2197,155.9251,-,0.434692,0.033534,27.11209,0.201,0.799,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,7.9,-,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1977,31,0.116,14.72844,12.51518,11.85122,13.43515,710.09746,749.88034,661.47394,4612.009,-,351.7955,159.5103,-,0.450894,0.034449,29.34049,0.175,0.825,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,7.9,-,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1978,28,0.076,13.98602,11.88082,11.26829,12.72635,748.01213,788.67369,698.31468,4649.89,-,348.2909,160.0894,13.4379,0.462903,0.034458,27.98454,0.242,0.758,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,7.8,-,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1979,107,0.278,11.09258,9.38317,9.30968,9.47459,947.12133,954.59818,937.98297,5160.575,-,367.3403,150.6993,15.49,0.408485,0.029087,24.3115,0.172,0.813,0.015,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3.2,-,8,1,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1980,20,0.111,14.43946,12.28839,11.39066,13.59827,723.21942,780.21794,653.55457,5057.697,-,342.2856,161.5982,14.7524,0.472642,0.032093,31.0869,0.151,0.008,0.841,-,-,1,-,-,-,0,0,-,-,-,-,-,1,-,-,-,-,-,3,-,7.9,1,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1981,13,0.095,15.9457,13.55851,12.74929,14.6988,655.45539,697.05834,604.60734,4909.786,-,326.0621,162.235,14.6386,0.497715,0.032994,33.33657,0.023,-,0.977,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-,7.9,1,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1982,21,0.138,18.97067,16.19359,14.52672,18.83509,574.3183,639.99216,494.05025,5063.819,-,333.5256,149.7493,16.3379,0.452582,0.029932,42.09003,-,0.076,0.924,-,-,0.621,-,-,-,0.379,0.379,-,-,-,-,-,0.621,-,-,-,-,-,3.9,-,8,1,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1983,22,0.087,17.57105,14.97684,13.6486,16.99872,611.68142,671.60783,538.43804,5118.653,-,349.531,153.8287,14.7216,0.444508,0.030244,40.01927,-,0.049,0.951,-,-,0.713,-,-,-,0.287,0.287,-,-,-,-,-,0.713,-,-,-,-,-,4,-,8,1,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1984,38,0.067,16.83343,14.35037,13.02658,16.38553,628.42194,692.22875,550.43584,5012.703,-,345.7259,156.3057,14.297,0.453948,0.031286,36.73719,-,0.112,0.888,-,-,0.863,-,-,-,0.137,0.137,-,-,-,-,-,0.863,-,-,-,-,-,3.9,-,8,1,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1985,56,0.087,16.41053,13.98279,12.77551,15.80868,639.91974,700.54962,565.81654,4916.812,-,341.1136,158.7509,13.8696,0.466685,0.032473,35.07315,-,0.296,0.704,-,-,0.935,-,-,-,0.065,0.065,-,-,-,-,-,0.935,-,-,-,-,-,3.7,-,8,1,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1986,48,0.067,17.04784,14.50233,13.07294,16.67486,616.19094,683.60042,535.866,4959.633,-,344.8123,160.4748,13.1819,0.466296,0.032492,36.40871,-,0.09,0.91,-,-,0.948,-,-,-,0.052,0.052,-,-,-,-,-,0.948,-,-,-,-,-,3.8,-,8,1,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1987,46,0.059,17.00377,14.42923,12.9489,16.63982,617.68339,688.29949,535.62154,5279.509,-,343.7835,194.2429,12.3474,0.563941,0.03671,38.31936,-,0.086,0.914,-,-,0.205,-,-,0.768,0.027,0.027,-,-,-,-,-,0.973,-,-,-,-,-,3.8,-,8,1,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1988,49,0.057,17.17361,14.54606,12.93213,16.94363,612.50184,688.97188,525.79738,5337.688,-,345.922,185.6774,12.8795,0.536034,0.034758,38.93936,-,0.056,0.944,-,-,0.012,-,-,0.966,0.022,0.022,-,-,-,-,-,0.978,-,-,-,-,-,3.8,-,8,1,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1989,53,0.065,17.44231,14.74617,12.97935,17.36127,603.96826,686.16886,513.01017,5249.494,-,334.86,194.3251,11.9492,0.586345,0.036901,38.84677,0.035,0.059,0.906,-,-,-,-,-,0.982,0.018,0.018,-,-,-,-,-,0.982,-,-,-,-,-,4,-,7.9,0.965,0.035,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1990,48,0.075,17.38105,14.67312,12.82558,17.37665,606.87376,694.30041,512.44756,5332.263,-,339.127,202.0438,10.9603,0.601758,0.037925,39.20647,0.016,0.1,0.884,-,-,-,-,0.051,0.932,0.017,0.017,-,-,-,-,-,0.983,-,-,-,-,-,4,-,7.9,0.984,0.016,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1991,33,0.037,17.71335,14.88933,13.09116,17.40813,598.52339,680.71887,511.93943,5187.757,-,318.7762,196.1777,11.1391,0.635424,0.037868,38.58285,0.055,0.054,0.891,-,-,-,-,0.179,0.799,0.022,0.022,-,-,-,-,-,0.978,-,-,-,-,-,4.1,-,7.6,0.945,0.055,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1992,35,0.046,17.58613,14.71478,13.05955,16.91672,603.95075,680.49819,525.33818,5061.209,-,302.5749,194.3737,10.8258,0.669529,0.038434,37.09549,0.08,0.001,0.919,-,-,-,-,0.3,0.7,-,-,-,-,-,-,-,1,-,-,-,-,-,4.1,-,7.4,0.92,0.08,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1993,58,0.069,17.5534,14.65652,12.93869,16.90737,606.35135,686.85495,525.62877,5191.974,-,316.5753,198.9639,10.1221,0.649001,0.038344,37.93263,0.047,-,0.953,-,-,-,-,0.21,0.79,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,7.6,0.953,0.047,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1994,56,0.043,16.95,14.13783,12.39037,16.40359,628.59735,717.25041,541.77167,5500,-,350,210,9.9698,0.6,0.038182,38.87902,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,8,1,-,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1995,157,0.099,18.8378,15.62194,13.74862,17.95919,568.87945,646.39195,494.84417,4760.642,-,275.3692,173.0322,10.8234,0.651938,0.036416,37.15734,0.123,-,0.877,-,-,-,-,0.589,0.411,-,-,-,-,-,-,-,1,-,-,-,-,-,4.1,-,6.8,0.877,0.123,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1996,260,0.162,19.26354,15.95014,13.88237,18.52527,557.17392,640.16432,479.72312,4651.866,-,262.5676,191.2013,10.6138,0.746845,0.040888,37.13443,0.053,-,0.947,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.224,-,4.1,-,6.7,0.947,0.053,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1997,378,0.181,19.54179,16.10772,14.0714,18.55263,551.72289,631.5647,479.01569,4629.013,-,265.3101,198.1186,10.2391,0.763839,0.042636,37.25775,0.037,-,0.963,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.262,-,4.3,-,6.8,0.733,0.267,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1998,293,0.138,19.25759,15.8397,13.77535,18.27538,561.05858,645.13792,486.28253,4677.666,-,271.5997,213.7497,10.0637,0.815189,0.045706,37.02576,0.011,-,0.989,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.316,-,4.2,-,7.1,0.837,0.163,-,-,-,-,-
Truck SUV,Rear Wheel Drive,1999,483,0.206,18.47451,15.18378,13.1115,17.60107,585.29556,677.80213,504.91237,4931.715,-,297.2294,230.7633,9.8346,0.795391,0.046721,37.44888,0.006,-,0.994,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.21,-,4.1,-,7.4,0.921,0.079,-,-,-,-,-
Truck SUV,Rear Wheel Drive,2000,416,0.165,18.90244,15.46963,13.37095,17.84586,574.48027,664.64976,497.98655,4935.37,-,282.4689,228.4528,9.4914,0.826433,0.04632,38.25391,0.004,-,0.996,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.246,0.013,4.1,-,7.4,0.896,0.104,-,-,-,-,-
Truck SUV,Rear Wheel Drive,2001,435,0.161,19.0377,15.46054,13.56926,17.47649,574.81827,654.9364,508.51176,4959.896,-,281.0564,241.5294,9.0182,0.872695,0.048865,38.22228,0.004,-,0.996,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.311,0.106,4.1,-,7.3,0.866,0.134,-,-,-,-,-
Truck SUV,Rear Wheel Drive,2002,856,0.239,19.68501,16.00798,13.73386,18.48549,555.16052,647.0868,480.75547,4842.076,-,270.9695,244.2473,8.9553,0.906554,0.050585,38.66031,0.006,-,0.994,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.296,0.177,4.3,-,6.9,0.694,0.306,-,-,-,-,-
Truck SUV,Rear Wheel Drive,2003,846,0.237,19.27354,15.64652,13.36402,18.08936,567.98557,664.99433,491.28329,5111.427,-,281.8667,255.4277,8.8825,0.913716,0.050389,39.87326,0,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.378,0.233,4.2,-,7.2,0.763,0.237,-,-,-,-,-
Truck SUV,Rear Wheel Drive,2004,913,0.224,19.49342,15.75393,13.46249,18.13812,564.11312,660.1306,489.96256,5012.169,-,284.4478,258.2449,8.7564,0.912509,0.051854,39.37658,0.003,-,0.997,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.416,0.301,4.3,-,7.1,0.718,0.282,-,-,-,-,-
Truck SUV,Rear Wheel Drive,2005,650,0.199,19.88094,16.04802,13.57916,18.599,553.77556,654.45891,477.82146,5083.076,-,279.7594,265.6308,8.574,0.954421,0.052346,40.75314,0.005,-,0.995,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.533,0.419,4.5,-,7.1,0.516,0.467,0.017,-,-,-,-
Truck SUV,Rear Wheel Drive,2006,532,0.177,20.0484,16.19776,13.65061,18.85137,548.65627,651.033,471.42469,4992.653,-,273.1747,259.6567,8.6771,0.953907,0.052051,40.39226,0.004,-,0.996,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,0.036,0.605,0.538,4.7,-,6.9,0.384,0.573,0.043,-,-,-,-
Truck SUV,Rear Wheel Drive,2007,603,0.182,20.54385,16.59056,13.95894,19.34131,535.71307,636.70668,459.52491,5292.55,-,288.0073,276.2826,8.7015,0.96105,0.052278,43.93522,0.002,-,0.998,-,-,-,-,0.999,-,0.001,0.001,-,-,-,-,-,0.999,0.001,-,0.404,0.34,0.328,4.5,-,7.2,0.583,0.328,0.089,-,-,-,-
Truck SUV,Rear Wheel Drive,2008,436,0.142,20.73274,16.76146,14.03511,19.63944,530.23814,633.23611,452.53791,5196.945,51.60499,283.9459,282.1681,8.5879,0.991445,0.054204,43.4566,0.004,-,0.987,0.009,-,-,-,0.999,-,0.001,0.001,-,-,-,-,0.009,0.991,0.001,-,0.252,0.451,0.38,4.7,-,7,0.461,0.372,0.158,-,-,-,-
Truck SUV,Rear Wheel Drive,2009,129,0.075,20.98412,16.96757,14.17747,19.9258,523.76378,626.8397,446.00475,5339.272,52.74151,293.0198,286.8253,8.2776,0.97903,0.053496,45.25797,0.002,-,0.978,0.02,-,-,-,1,-,-,-,-,-,-,-,0.02,0.98,-,-,0.403,0.226,0.286,5.3,-,7.2,0.224,0.256,0.483,0.017,-,-,-
Truck SUV,Rear Wheel Drive,2010,187,0.081,21.50766,17.3579,14.54691,20.32006,511.98581,610.9202,437.35109,5287.784,51.98818,282.9187,274.3207,8.5301,0.973409,0.051789,45.82246,0.001,-,0.996,0.003,-,-,-,1,-,-,-,-,-,-,-,0.003,0.997,-,-,0.247,0.428,0.577,5.4,-,7,0.126,0.409,0.425,0.037,-,-,-
Truck SUV,Rear Wheel Drive,2011,273,0.089,22.1731,17.86415,15.02434,20.83501,497.47671,591.50698,426.54159,5330.778,53.11063,281.4894,298.8546,8.0454,1.07788,0.056139,47.55335,0.001,-,0.997,0.002,-,-,0.023,0.977,-,-,-,-,-,-,-,0.002,0.998,-,-,0.357,0.544,0.888,5.6,-,7,0.108,0.351,0.411,0.127,-,-,-
Truck SUV,Rear Wheel Drive,2012,176,0.064,22.00159,17.76448,14.85141,20.84963,500.26791,598.39442,426.24264,5474.789,54.4013,294.2133,314.8258,7.8512,1.089208,0.057915,48.59718,-,-,0.998,0.002,-,-,0.038,0.962,-,-,-,-,-,-,-,0.002,0.998,-,-,0.374,0.625,1,5.6,-,7.2,-,0.443,0.517,0.038,-,-,-
Truck SUV,Rear Wheel Drive,2013,193,0.058,22.27355,17.92489,15.06046,20.92759,495.79101,590.08802,424.65467,5552.034,55.04685,295.8223,318.5466,7.8084,1.100462,0.057743,49.74084,-,-,0.998,0.002,-,-,0.078,0.922,-,-,-,-,-,-,-,0.002,0.998,-,-,0.472,0.527,1,5.8,-,7.3,-,0.321,0.599,0.078,-,-,-
Truck SUV,Rear Wheel Drive,2014,200,0.054,23.7131,19.04436,15.95718,22.29885,466.64736,556.92815,398.54081,5236.557,53.76661,269.631,308.9229,7.4755,1.180088,0.059424,49.93113,-,-,1,-,-,-,0.122,0.878,-,-,-,-,-,-,-,-,1,0.041,0.028,0.247,0.377,0.987,6.9,-,6.9,-,0.129,0.312,0.094,0.465,-,-
Truck SUV,Rear Wheel Drive,2015,303,0.064,24.10349,19.40321,16.16554,22.85661,458.15172,549.90769,388.93231,5435.79,54.76436,276.4729,328.8005,7.3705,1.222466,0.060638,52.71521,-,-,1,-,-,-,0.596,0.401,-,0.003,0.003,-,-,-,-,-,0.997,0.099,0.024,0.436,0.564,0.997,6.7,-,7,-,0.109,0.459,0.078,0.353,-,-
Truck SUV,Rear Wheel Drive,2016,241,0.051,24.35287,19.52087,16.46126,22.70438,455.31706,539.94484,391.47506,5422.416,54.60028,279.0348,331.9764,7.3534,1.222376,0.061133,52.98713,-,-,1,-,-,-,0.66,0.338,-,0.001,0.001,-,-,-,-,-,0.999,0.115,0.192,0.459,0.541,0.999,6.5,-,7,-,0.156,0.455,0.096,0.293,-,-
